2024-05-26 12:47:05,290, 24, DEBUG, 0
2024-05-26 12:47:08,311, 29, DEBUG, Starting program
2024-05-26 12:47:08,311, 35, DEBUG, ['Dungeontroll - A Gentle Whisper from the Evergarden', 'RUNA & Fen Lume - Ringwraiths (split)']
2024-05-26 12:47:08,312, 41, DEBUG, ['testpack\\Dungeontroll - A Gentle Whisper from the Evergarden\\Dungeontroll - A Gentle Whisper from the Evergarden - 01 A Somber Song for the Forest.mp3', 'testpack\\Dungeontroll - A Gentle Whisper from the Evergarden\\Dungeontroll - A Gentle Whisper from the Evergarden - 02 In Eternal Reverence to the Wanderer.mp3', 'testpack\\Dungeontroll - A Gentle Whisper from the Evergarden\\Dungeontroll - A Gentle Whisper from the Evergarden - 03 The Palace of the Great Elf.mp3', 'testpack\\Dungeontroll - A Gentle Whisper from the Evergarden\\Dungeontroll - A Gentle Whisper from the Evergarden - 04 Remnants of Eureliiea Beneath the Crescent Moon.mp3', 'testpack\\Dungeontroll - A Gentle Whisper from the Evergarden\\Dungeontroll - A Gentle Whisper from the Evergarden - 05 A Shining Presence Amongst the Stars.mp3']
2024-05-26 12:47:08,330, 440, DEBUG, Loading file: testpack\Dungeontroll - A Gentle Whisper from the Evergarden\Dungeontroll - A Gentle Whisper from the Evergarden - 01 A Somber Song for the Forest.mp3
2024-05-26 12:47:08,331, 449, DEBUG, File mime-type: audio/mpeg
2024-05-26 12:47:08,331, 69, DEBUG, Located ID3 v2 tag
2024-05-26 12:47:08,331, 78, DEBUG, TagHeader [major]: 2 
2024-05-26 12:47:08,331, 79, DEBUG, TagHeader [minor]: 3 
2024-05-26 12:47:08,331, 80, DEBUG, TagHeader [rev]: 0 
2024-05-26 12:47:08,331, 93, DEBUG, TagHeader [flags]: unsync(0) extended(0) experimental(0) footer(0)
2024-05-26 12:47:08,331, 104, DEBUG, TagHeader [size string]: 0x000c2549
2024-05-26 12:47:08,331, 108, DEBUG, TagHeader [size]: 201417 (0x312c9)
2024-05-26 12:47:08,331, 1784, DEBUG, size_left: 201417
2024-05-26 12:47:08,331, 1790, DEBUG, +++++++++++++++++++++++++++++++++++++++++++++++++
2024-05-26 12:47:08,331, 1791, DEBUG, FrameSet: Reading Frame #1
2024-05-26 12:47:08,331, 646, DEBUG, FrameHeader [start byte]: 10 (0xA)
